,node_sending,node_receiving,interface,time_queued,time_dequeued,time_received,bytes,id,total_package_time,total_time
109,1,5,10,0.0,6775.34,7036.84,1052,109,261.5,261.5
110,1,5,10,0.0,6836.93,7098.44,1052,110,261.5099999999993,261.5099999999993
111,1,5,10,0.0,6898.53,7160.03,1052,111,261.5,261.5
112,1,5,10,0.0,6960.12,7221.63,1052,112,261.5100000000002,261.5100000000002
113,1,5,10,0.0,7021.71,7283.22,1052,113,261.5100000000002,261.5100000000002
114,1,5,10,0.0,7083.31,7344.81,1052,114,261.5,261.5
115,1,5,10,0.0,7144.9,7406.41,1052,115,261.5100000000002,261.5100000000002
116,1,5,10,0.0,7206.5,7468.0,1052,116,261.5,261.5
117,1,5,10,0.0,7268.09,7529.6,1052,117,261.5100000000002,261.5100000000002
118,1,5,10,0.0,7329.68,7591.19,1052,118,261.5099999999993,261.5099999999993
119,1,5,10,0.0,7391.28,7652.78,1052,119,261.5,261.5
120,1,5,10,0.0,7452.87,7714.38,1052,120,261.5100000000002,261.5100000000002
121,1,5,10,0.0,7514.47,7775.97,1052,121,261.5,261.5
122,1,5,10,0.0,7576.06,7837.57,1052,122,261.5099999999993,261.5099999999993
123,1,5,10,0.0,7637.65,7899.16,1052,123,261.5100000000002,261.5100000000002
124,1,5,10,0.0,7699.25,7960.75,1052,124,261.5,261.5
125,1,5,10,0.0,7760.84,8022.35,1052,125,261.5100000000002,261.5100000000002
126,1,5,10,0.0,7822.44,8083.94,1052,126,261.5,261.5
127,1,5,10,0.0,7884.03,8145.54,1052,127,261.5100000000002,261.5100000000002
128,1,5,10,0.0,7945.62,8207.13,1052,128,261.5099999999993,261.5099999999993
129,1,5,10,0.0,8007.22,8268.72,1052,129,261.4999999999991,261.4999999999991
130,1,5,10,0.0,8068.81,8330.32,1052,130,261.5099999999993,261.5099999999993
131,1,5,10,0.0,8130.41,8391.91,1052,131,261.5,261.5
132,1,5,10,0.0,8192.0,8453.51,1052,132,261.5100000000002,261.5100000000002
133,1,5,10,0.0,8253.59,8515.1,1052,133,261.5100000000002,261.5100000000002
134,1,5,10,0.0,8315.19,8576.69,1052,134,261.5,261.5
135,1,5,10,0.0,8376.78,8638.29,1052,135,261.5100000000002,261.5100000000002
136,1,5,10,0.0,8438.38,8699.88,1052,136,261.5,261.5
137,1,5,10,0.0,8499.97,8761.48,1052,137,261.5100000000002,261.5100000000002
138,1,5,10,0.0,8561.56,8823.07,1052,138,261.5100000000002,261.5100000000002
139,1,5,10,0.0,8623.16,8884.66,1052,139,261.5,261.5
140,1,5,10,0.0,8684.75,8946.26,1052,140,261.5100000000002,261.5100000000002
141,1,5,10,0.0,8746.35,9007.85,1052,141,261.5,261.5
142,1,5,10,0.0,8807.94,9069.45,1052,142,261.5100000000002,261.5100000000002
143,1,5,10,0.0,8869.53,9131.04,1052,143,261.5100000000002,261.5100000000002
144,1,5,10,0.0,8931.13,9192.63,1052,144,261.5,261.5
145,1,5,10,0.0,8992.72,9254.23,1052,145,261.5100000000002,261.5100000000002
146,1,5,10,0.0,9054.32,9315.82,1052,146,261.5,261.5
147,1,5,10,0.0,9115.91,9377.42,1052,147,261.5100000000002,261.5100000000002
148,1,5,10,0.0,9177.5,9439.01,1052,148,261.5100000000002,261.5100000000002
149,1,5,10,0.0,9239.1,9500.6,1052,149,261.5,261.5
150,1,5,10,0.0,9300.69,9562.2,1052,150,261.5100000000002,261.5100000000002
151,1,5,10,0.0,9362.29,9623.79,1052,151,261.5,261.5
152,1,5,10,0.0,9423.88,9685.39,1052,152,261.5100000000002,261.5100000000002
153,1,5,10,0.0,9485.47,9746.98,1052,153,261.5100000000002,261.5100000000002
154,1,5,10,0.0,9547.07,9808.57,1052,154,261.5,261.5
155,1,5,10,0.0,9608.66,9870.17,1052,155,261.5100000000002,261.5100000000002
156,1,5,10,0.0,9670.26,9931.76,1052,156,261.5,261.5
157,1,5,10,0.0,9731.85,9993.36,1052,157,261.5100000000002,261.5100000000002
158,1,5,10,0.0,9793.44,10055.0,1052,158,261.5599999999995,261.5599999999995
159,1,5,10,0.0,9855.04,10116.5,1052,159,261.4599999999991,261.4599999999991
160,1,5,10,0.0,9916.63,10178.1,1052,160,261.47000000000116,261.47000000000116
161,1,5,10,0.0,9978.23,10239.7,1052,161,261.47000000000116,261.47000000000116
162,1,5,10,0.0,10039.8,10301.3,1052,162,261.5,261.5
163,1,5,10,0.0,10101.4,10362.9,1052,163,261.5,261.5
164,1,5,10,0.0,10163.0,10424.5,1052,164,261.5,261.5
165,1,5,10,0.0,10224.6,10486.1,1052,165,261.5,261.5
166,1,5,10,0.0,10286.2,10547.7,1052,166,261.5,261.5
167,1,5,10,0.0,10347.8,10609.3,1052,167,261.5,261.5
168,1,5,10,0.0,10409.4,10670.9,1052,168,261.5,261.5
169,1,5,10,0.0,10471.0,10732.5,1052,169,261.5,261.5
170,1,5,10,0.0,10532.6,10794.1,1052,170,261.5,261.5
171,1,5,10,0.0,10594.2,10855.7,1052,171,261.5,261.5
172,1,5,10,0.0,10655.8,10917.3,1052,172,261.5,261.5
173,1,5,10,0.0,10717.4,10978.9,1052,173,261.5,261.5
174,1,5,10,0.0,10778.9,11040.5,1052,174,261.60000000000036,261.60000000000036
175,1,5,10,0.0,10840.5,11102.0,1052,175,261.5,261.5
176,1,5,10,0.0,10902.1,11163.6,1052,176,261.5,261.5
177,1,5,10,0.0,10963.7,11225.2,1052,177,261.5,261.5
178,1,5,10,0.0,11025.3,11286.8,1052,178,261.5,261.5
179,1,5,10,0.0,11086.9,11348.4,1052,179,261.5,261.5
180,1,5,10,0.0,11148.5,11410.0,1052,180,261.5,261.5
181,1,5,10,0.0,11210.1,11471.6,1052,181,261.5,261.5
182,1,5,10,0.0,11271.7,11533.2,1052,182,261.5,261.5
183,1,5,10,0.0,11333.3,11594.8,1052,183,261.5,261.5
184,1,5,10,0.0,11394.9,11656.4,1052,184,261.5,261.5
185,1,5,10,0.0,11456.5,11718.0,1052,185,261.5,261.5
186,1,5,10,0.0,11518.1,11779.6,1052,186,261.5,261.5
187,1,5,10,0.0,11579.7,11841.2,1052,187,261.5,261.5
188,1,5,10,0.0,11641.3,11902.8,1052,188,261.5,261.5
189,1,5,10,0.0,11702.9,11964.4,1052,189,261.5,261.5
190,1,5,10,0.0,11764.5,12026.0,1052,190,261.5,261.5
191,1,5,10,0.0,11826.0,12087.6,1052,191,261.60000000000036,261.60000000000036
192,1,5,10,0.0,11887.6,12149.1,1052,192,261.5,261.5
193,1,5,10,0.0,11949.2,12210.7,1052,193,261.5,261.5
194,1,5,10,0.0,12010.8,12272.3,1052,194,261.5,261.5
195,1,5,10,0.0,12072.4,12333.9,1052,195,261.5,261.5
196,1,5,10,0.0,12134.0,12395.5,1052,196,261.5,261.5
197,1,5,10,0.0,12195.6,12457.1,1052,197,261.5,261.5
198,1,5,10,0.0,12257.2,12518.7,1052,198,261.5,261.5
199,1,5,10,0.0,12318.8,12580.3,1052,199,261.5,261.5
200,1,5,10,0.0,12380.4,12641.9,1052,200,261.5,261.5
201,1,5,10,0.0,12442.0,12703.5,1052,201,261.5,261.5
202,1,5,10,0.0,12503.6,12765.1,1052,202,261.5,261.5
203,1,5,10,0.0,12565.2,12826.7,1052,203,261.5,261.5
204,1,5,10,0.0,12626.8,12888.3,1052,204,261.5,261.5
205,1,5,10,0.0,12688.4,12949.9,1052,205,261.5,261.5
206,1,5,10,0.0,12750.0,13011.5,1052,206,261.5,261.5
207,1,5,10,0.0,12811.5,13073.1,1052,207,261.60000000000036,261.60000000000036
208,1,5,10,0.0,12873.1,13134.6,1052,208,261.5,261.5
209,1,5,10,0.0,12934.7,13196.2,1052,209,261.5,261.5
210,1,5,10,0.0,12996.3,13257.8,1052,210,261.5,261.5
211,1,5,10,0.0,13057.9,13319.4,1052,211,261.5,261.5
212,1,5,10,0.0,13119.5,13381.0,1052,212,261.5,261.5
213,1,5,10,0.0,13181.1,13442.6,1052,213,261.5,261.5
214,1,5,10,0.0,13242.7,13504.2,1052,214,261.5,261.5
215,1,5,10,0.0,13304.3,13565.8,1052,215,261.5,261.5
216,1,5,10,0.0,13365.9,13627.4,1052,216,261.5,261.5
217,1,5,10,0.0,13427.5,13689.0,1052,217,261.5,261.5
218,1,5,10,0.0,13489.1,13750.6,1052,218,261.5,261.5
219,1,5,10,0.0,13550.7,13812.2,1052,219,261.5,261.5
220,1,5,10,0.0,13612.3,13873.8,1052,220,261.5,261.5
221,1,5,10,0.0,13673.9,13935.4,1052,221,261.5,261.5
222,1,5,10,0.0,13735.5,13997.0,1052,222,261.5,261.5
223,1,5,10,0.0,13797.1,14058.6,1052,223,261.5,261.5
224,1,5,10,0.0,13858.6,14120.2,1052,224,261.60000000000036,261.60000000000036
225,1,5,10,0.0,13920.2,14181.7,1052,225,261.5,261.5
226,1,5,10,0.0,13981.8,14243.3,1052,226,261.5,261.5
227,1,5,10,0.0,14043.4,14304.9,1052,227,261.5,261.5
228,1,5,10,0.0,14105.0,14366.5,1052,228,261.5,261.5
229,1,5,10,0.0,14166.6,14428.1,1052,229,261.5,261.5
230,1,5,10,0.0,14228.2,14489.7,1052,230,261.5,261.5
231,1,5,10,0.0,14289.8,14551.3,1052,231,261.5,261.5
232,1,5,10,0.0,14351.4,14612.9,1052,232,261.5,261.5
233,1,5,10,0.0,14413.0,14674.5,1052,233,261.5,261.5
234,1,5,10,0.0,14474.6,14736.1,1052,234,261.5,261.5
235,1,5,10,0.0,14536.2,14797.7,1052,235,261.5,261.5
236,1,5,10,0.0,14597.8,14859.3,1052,236,261.5,261.5
237,1,5,10,0.0,14659.4,14920.9,1052,237,261.5,261.5
238,1,5,10,0.0,14721.0,14982.5,1052,238,261.5,261.5
239,1,5,10,0.0,14782.6,15044.1,1052,239,261.5,261.5
240,1,5,10,0.0,14844.2,15105.7,1052,240,261.5,261.5
241,1,5,10,0.0,14905.7,15167.3,1052,241,261.59999999999854,261.59999999999854
242,1,5,10,0.0,14967.3,15228.8,1052,242,261.5,261.5
243,1,5,10,0.0,15028.9,15290.4,1052,243,261.5,261.5
244,1,5,10,0.0,15090.5,15352.0,1052,244,261.5,261.5
245,1,5,10,0.0,15152.1,15413.6,1052,245,261.5,261.5
246,1,5,10,0.0,15213.7,15475.2,1052,246,261.5,261.5
247,1,5,10,0.0,15275.3,15536.8,1052,247,261.5,261.5
248,1,5,10,0.0,15336.9,15598.4,1052,248,261.5,261.5
249,1,5,10,0.0,15398.5,15660.0,1052,249,261.5,261.5
250,1,5,10,0.0,15460.1,15721.6,1052,250,261.5,261.5
251,1,5,10,0.0,15521.7,15783.2,1052,251,261.5,261.5
252,1,5,10,0.0,15583.3,15844.8,1052,252,261.5,261.5
253,1,5,10,0.0,15644.9,15906.4,1052,253,261.5,261.5
254,1,5,10,0.0,15706.5,15968.0,1052,254,261.5,261.5
255,1,5,10,0.0,15768.1,16029.6,1052,255,261.5,261.5
256,1,5,10,0.0,15829.7,16091.2,1052,256,261.5,261.5
257,1,5,10,0.0,15891.2,16152.8,1052,257,261.59999999999854,261.59999999999854
258,1,5,10,0.0,15952.8,16214.3,1052,258,261.5,261.5
259,1,5,10,0.0,16014.4,16275.9,1052,259,261.5,261.5
260,1,5,10,0.0,16076.0,16337.5,1052,260,261.5,261.5
261,1,5,10,0.0,16137.6,16399.1,1052,261,261.4999999999982,261.4999999999982
262,1,5,10,0.0,16199.2,16460.7,1052,262,261.5,261.5
263,1,5,10,0.0,16260.8,16522.3,1052,263,261.5,261.5
264,1,5,10,0.0,16322.4,16583.9,1052,264,261.5000000000018,261.5000000000018
265,1,5,10,0.0,16384.0,16645.5,1052,265,261.5,261.5
266,1,5,10,0.0,16445.6,16707.1,1052,266,261.5,261.5
267,1,5,10,0.0,16507.2,16768.7,1052,267,261.5,261.5
268,1,5,10,0.0,16568.8,16830.3,1052,268,261.5,261.5
269,1,5,10,0.0,16630.4,16891.9,1052,269,261.5,261.5
270,1,5,10,0.0,16692.0,16953.5,1052,270,261.5,261.5
271,1,5,10,0.0,16753.6,17015.1,1052,271,261.5,261.5
272,1,5,10,0.0,16815.2,17076.7,1052,272,261.5,261.5
273,1,5,10,0.0,16876.8,17138.3,1052,273,261.5,261.5
274,1,5,10,0.0,16938.3,17199.9,1052,274,261.6000000000022,261.6000000000022
275,1,5,10,0.0,16999.9,17261.4,1052,275,261.5,261.5
276,1,5,10,0.0,17061.5,17323.0,1052,276,261.5,261.5
277,1,5,10,0.0,17123.1,17384.6,1052,277,261.5,261.5
278,1,5,10,0.0,17184.7,17446.2,1052,278,261.5,261.5
279,1,5,10,0.0,17246.3,17507.8,1052,279,261.5,261.5
280,1,5,10,0.0,17307.9,17569.4,1052,280,261.5,261.5
281,1,5,10,0.0,17369.5,17631.0,1052,281,261.5,261.5
282,1,5,10,0.0,17431.1,17692.6,1052,282,261.5,261.5
283,1,5,10,0.0,17492.7,17754.2,1052,283,261.5,261.5
284,1,5,10,0.0,17554.3,17815.8,1052,284,261.5,261.5
285,1,5,10,0.0,17615.9,17877.4,1052,285,261.5,261.5
286,1,5,10,0.0,17677.5,17939.0,1052,286,261.5,261.5
287,1,5,10,0.0,17739.1,18000.6,1052,287,261.5,261.5
288,1,5,10,0.0,17800.7,18062.2,1052,288,261.5,261.5
289,1,5,10,0.0,17862.3,18123.8,1052,289,261.5,261.5
290,1,5,10,0.0,17923.8,18185.4,1052,290,261.6000000000022,261.6000000000022
291,1,5,10,0.0,17985.4,18247.0,1052,291,261.59999999999854,261.59999999999854
292,1,5,10,0.0,18047.0,18308.5,1052,292,261.5,261.5
293,1,5,10,0.0,18108.6,18370.1,1052,293,261.5,261.5
294,1,5,10,0.0,18170.2,18431.7,1052,294,261.5,261.5
295,1,5,10,0.0,18231.8,18493.3,1052,295,261.5,261.5
296,1,5,10,0.0,18293.4,18554.9,1052,296,261.5,261.5
297,1,5,10,0.0,18355.0,18616.5,1052,297,261.5,261.5
298,1,5,10,0.0,18416.6,18678.1,1052,298,261.5,261.5
299,1,5,10,0.0,18478.2,18739.7,1052,299,261.5,261.5
300,1,5,10,0.0,18539.8,18801.3,1052,300,261.5,261.5
301,1,5,10,0.0,18601.4,18862.9,1052,301,261.5,261.5
302,1,5,10,0.0,18663.0,18924.5,1052,302,261.5,261.5
303,1,5,10,0.0,18724.6,18986.1,1052,303,261.5,261.5
304,1,5,10,0.0,18786.2,19047.7,1052,304,261.5,261.5
305,1,5,10,0.0,18847.8,19109.3,1052,305,261.5,261.5
306,1,5,10,0.0,18909.4,19170.9,1052,306,261.5,261.5
307,1,5,10,0.0,18970.9,19232.5,1052,307,261.59999999999854,261.59999999999854
308,1,5,10,0.0,19032.5,19294.0,1052,308,261.5,261.5
309,1,5,10,0.0,19094.1,19355.6,1052,309,261.5,261.5
310,1,5,10,0.0,19155.7,19417.2,1052,310,261.5,261.5
311,1,5,10,0.0,19217.3,19478.8,1052,311,261.5,261.5
312,1,5,10,0.0,19278.9,19540.4,1052,312,261.5,261.5
313,1,5,10,0.0,19340.5,19602.0,1052,313,261.5,261.5
314,1,5,10,0.0,19402.1,19663.6,1052,314,261.5,261.5
315,1,5,10,0.0,19463.7,19725.2,1052,315,261.5,261.5
316,1,5,10,0.0,19525.3,19786.8,1052,316,261.5,261.5
317,1,5,10,0.0,19586.9,19848.4,1052,317,261.5,261.5
318,1,5,10,0.0,19648.5,19910.0,1052,318,261.5,261.5
319,1,5,10,0.0,19710.1,19971.6,1052,319,261.5,261.5
320,1,5,10,0.0,19771.7,20033.2,1052,320,261.5,261.5
321,1,5,10,0.0,19833.3,20094.8,1052,321,261.5,261.5
322,1,5,10,0.0,19894.9,20156.4,1052,322,261.5,261.5
323,1,5,10,0.0,19956.5,20218.0,1052,323,261.5,261.5
324,1,5,10,0.0,20018.0,20279.6,1052,324,261.59999999999854,261.59999999999854
325,1,5,10,0.0,20079.6,20341.1,1052,325,261.5,261.5
326,1,5,10,0.0,20141.2,20402.7,1052,326,261.5,261.5
327,1,5,10,0.0,20202.8,20464.3,1052,327,261.5,261.5
328,1,5,10,0.0,20264.4,20525.9,1052,328,261.5,261.5
329,1,5,10,0.0,20326.0,20587.5,1052,329,261.5,261.5
330,1,5,10,0.0,20387.6,20649.1,1052,330,261.5,261.5
331,1,5,10,0.0,20449.2,20710.7,1052,331,261.5,261.5
332,1,5,10,0.0,20510.8,20772.3,1052,332,261.5,261.5
333,1,5,10,0.0,20572.4,20833.9,1052,333,261.5,261.5
334,1,5,10,0.0,20634.0,20895.5,1052,334,261.5,261.5
335,1,5,10,0.0,20695.6,20957.1,1052,335,261.5,261.5
336,1,5,10,0.0,20757.2,21018.7,1052,336,261.5,261.5
337,1,5,10,0.0,20818.8,21080.3,1052,337,261.5,261.5
338,1,5,10,0.0,20880.4,21141.9,1052,338,261.5,261.5
339,1,5,10,0.0,20942.0,21203.5,1052,339,261.5,261.5
340,1,5,10,0.0,21003.5,21265.1,1052,340,261.59999999999854,261.59999999999854
341,1,5,10,0.0,21065.1,21326.6,1052,341,261.5,261.5
342,1,5,10,0.0,21126.7,21388.2,1052,342,261.5,261.5
343,1,5,10,0.0,21188.3,21449.8,1052,343,261.5,261.5
344,1,5,10,0.0,21249.9,21511.4,1052,344,261.5,261.5
345,1,5,10,0.0,21311.5,21573.0,1052,345,261.5,261.5
346,1,5,10,0.0,21373.1,21634.6,1052,346,261.5,261.5
347,1,5,10,0.0,21434.7,21696.2,1052,347,261.5,261.5
348,1,5,10,0.0,21496.3,21757.8,1052,348,261.5,261.5
349,1,5,10,0.0,21557.9,21819.4,1052,349,261.5,261.5
350,1,5,10,0.0,21619.5,21881.0,1052,350,261.5,261.5
351,1,5,10,0.0,21681.1,21942.6,1052,351,261.5,261.5
352,1,5,10,0.0,21742.7,22004.2,1052,352,261.5,261.5
353,1,5,10,0.0,21804.3,22065.8,1052,353,261.5,261.5
354,1,5,10,0.0,21865.9,22127.4,1052,354,261.5,261.5
355,1,5,10,0.0,21927.5,22189.0,1052,355,261.5,261.5
356,1,5,10,0.0,21989.1,22250.6,1052,356,261.5,261.5
357,1,5,10,0.0,22050.6,22312.2,1052,357,261.6000000000022,261.6000000000022
358,1,5,10,0.0,22112.2,22373.7,1052,358,261.5,261.5
359,1,5,10,0.0,22173.8,22435.3,1052,359,261.5,261.5
360,1,5,10,0.0,22235.4,22496.9,1052,360,261.5,261.5
361,1,5,10,0.0,22297.0,22558.5,1052,361,261.5,261.5
362,1,5,10,0.0,22358.6,22620.1,1052,362,261.5,261.5
363,1,5,10,0.0,22420.2,22681.7,1052,363,261.5,261.5
364,1,5,10,0.0,22481.8,22743.3,1052,364,261.5,261.5
365,1,5,10,0.0,22543.4,22804.9,1052,365,261.5,261.5
366,1,5,10,0.0,22605.0,22866.5,1052,366,261.5,261.5
367,1,5,10,0.0,22666.6,22928.1,1052,367,261.5,261.5
368,1,5,10,0.0,22728.2,22989.7,1052,368,261.5,261.5
369,1,5,10,0.0,22789.8,23051.3,1052,369,261.5,261.5
370,1,5,10,0.0,22851.4,23112.9,1052,370,261.5,261.5
